Total Area,Precursor Ion Formula,Replicate Name,Sample Name,Precursor Mz,sample name,
154589,C41H73N14O17P[M+2H],E160318_26_Lumos_CS_160_Tania_histones_het2_160321034548,,533.258063,HET2,H3K9AcS10phK14Ac
10876584,C42H76N14O13[M+2H],18_Lumos_TA_IN_150_S1AD,,493.29309,AE1,H3K9me2K14unmod
12359879,C42H76N14O13[M+2H],20_Lumos_TA_IN_150_S1AD2,,493.29309,AM1,H3K9me2K14unmod
12583718,C42H76N14O13[M+2H],21_Lumos_TA_IN_150_S1AD2_170410032047,,493.29309,AM2,H3K9me2K14unmod
4372041,C42H76N14O13[M+2H],22_Lumos_TA_IN_150_S1AD2,,493.29309,AE2,H3K9me2K14unmod
160252912,C42H76N14O13[M+2H],E160318_24_Lumos_CS_160_Tania_histones_het1_160320234629,,493.29309,HET1,H3K9me2K14unmod
388176736,C42H76N14O13[M+2H],E160318_26_Lumos_CS_160_Tania_histones_het2_160321034548,,493.29309,HET2,H3K9me2K14unmod
5683623,C43H77N14O17P[M+2H],18_Lumos_TA_IN_150_S1AD,,547.273713,AE1,H3unmodS10phK14unmod
4075652,C43H77N14O17P[M+2H],20_Lumos_TA_IN_150_S1AD2,,547.273713,AM1,H3unmodS10phK14unmod
6447312,C43H77N14O17P[M+2H],21_Lumos_TA_IN_150_S1AD2_170410032047,,547.273713,AM2,H3unmodS10phK14unmod
3030808,C43H77N14O17P[M+2H],22_Lumos_TA_IN_150_S1AD2,,547.273713,AE2,H3unmodS10phK14unmod
161493,C43H77N14O17P[M+2H],E160318_24_Lumos_CS_160_Tania_histones_het1_160320234629,,547.273713,HET1,H3unmodS10phK14unmod
300941,C43H77N14O17P[M+2H],E160318_26_Lumos_CS_160_Tania_histones_het2_160321034548,,547.273713,HET2,H3unmodS10phK14unmod
21747052,C42H75N14O17P[M+2H],18_Lumos_TA_IN_150_S1AD,,540.265888,AE1,H3K9AcS10phk14unmod
19277414,C42H75N14O17P[M+2H],20_Lumos_TA_IN_150_S1AD2,,540.265888,AM1,H3K9AcS10phk14unmod
23378222,C42H75N14O17P[M+2H],21_Lumos_TA_IN_150_S1AD2_170410032047,,540.265888,AM2,H3K9AcS10phk14unmod
22652980,C42H75N14O17P[M+2H],22_Lumos_TA_IN_150_S1AD2,,540.265888,AE2,H3K9AcS10phk14unmod
2288481,C42H75N14O17P[M+2H],E160318_24_Lumos_CS_160_Tania_histones_het1_160320234629,,540.265888,HET1,H3K9AcS10phk14unmod
5642270,C42H75N14O17P[M+2H],E160318_26_Lumos_CS_160_Tania_histones_het2_160321034548,,540.265888,HET2,H3K9AcS10phk14unmod
3243066,C41H74N14O13[M+2H],18_Lumos_TA_IN_150_S1AD,,486.285265,AE1,H3K9me3K14Ac
7894652,C41H74N14O13[M+2H],20_Lumos_TA_IN_150_S1AD2,,486.285265,AM1,H3K9me3K14Ac
3899000,C41H74N14O13[M+2H],21_Lumos_TA_IN_150_S1AD2_170410032047,,486.285265,AM2,H3K9me3K14Ac
